Id,Label,timeset,comment,indegree,outdegree,Degree
01-fix-heap-buffer-overflow-cve-2018-1000097.patch,01-fix-heap-buffer-overflow-cve-2018-1000097.patch,,Patch,1,4,5
010-qt-5.11.patch,010-qt-5.11.patch,,Patch,1,5,6
0177ade40262e31a80608a8e8e52d3da7163dccf.patch,0177ade40262e31a80608a8e8e52d3da7163dccf.patch,,Patch,1,5,6
01_AC_PROG_CXX.diff,01_AC_PROG_CXX.diff,,Diff,1,4,5
01_ignoretrunk.patch,01_ignoretrunk.patch,,Patch,1,5,6
01_makefile.patch,01_makefile.patch,,Patch,1,5,6
02-prevent-buffer-overflow.patch,02-prevent-buffer-overflow.patch,,Patch,1,5,6
0273ca561f0ad03adff41ce5d95a1ec31b10fe5a.patch,0273ca561f0ad03adff41ce5d95a1ec31b10fe5a.patch,,Patch,2,5,7
02_data_dir.patch,02_data_dir.patch,,Patch,1,5,6
02_dynamicbufferalloc.patch,02_dynamicbufferalloc.patch,,Patch,1,5,6
02_fix_gtk-2.20_deprecated_symbols.diff,02_fix_gtk-2.20_deprecated_symbols.diff,,Diff,1,5,6
03-cve-2016-8859,03-cve-2016-8859,,None,1,5,6
03-prevent-integer-overflow.patch,03-prevent-integer-overflow.patch,,Patch,1,5,6
03_CVE-2009-3994.diff,03_CVE-2009-3994.diff,,Diff,1,4,5
03_diffoptstypo.patch,03_diffoptstypo.patch,,Patch,1,5,6
03_texture_filename.patch,03_texture_filename.patch,,Patch,1,5,6
03_undeffun_sage.patch?id=07d6c37d18811e2b377a9689790a7c5e24da16ba,03_undeffun_sage.patch?id=07d6c37d18811e2b377a9689790a7c5e24da16ba,,None,2,5,7
03a4e02214bdb7bb60240ddf25b887ccac5fb118.patch,03a4e02214bdb7bb60240ddf25b887ccac5fb118.patch,,Patch,1,5,6
03e28424fb788dd09a95e99814977b0d0846c0b4.patch,03e28424fb788dd09a95e99814977b0d0846c0b4.patch,,Patch,1,4,5
04_CVE-2011-4620.diff,04_CVE-2011-4620.diff,,Diff,1,5,6
04_glibc2.27-ftbfs.diff,04_glibc2.27-ftbfs.diff,,Diff,1,4,5
04_home.patch,04_home.patch,,Patch,1,5,6
05-CVE-2017-11110.patch?id=21dd5b29b11be04149587657dd90253f52dfef0b,05-CVE-2017-11110.patch?id=21dd5b29b11be04149587657dd90253f52dfef0b,,None,1,5,6
05-inet_addr_fix.patch,05-inet_addr_fix.patch,,Patch,1,5,6
05-pow10.patch,05-pow10.patch,,Patch,1,5,6
0500-r7406_also_consider_the_back_tick_as_an_illegal_shell_escape_character.patch,0500-r7406_also_consider_the_back_tick_as_an_illegal_shell_escape_character.patch,,Patch,1,5,6
05_CVE-2012-4552.diff,05_CVE-2012-4552.diff,,Diff,1,5,6
05_gcc.patch,05_gcc.patch,,Patch,1,5,6
06_rrootage_highres.patch,06_rrootage_highres.patch,,Patch,1,5,6
076cf4ad5cc993be0c6195ec0d5d57e5ad8ac1eb.patch,076cf4ad5cc993be0c6195ec0d5d57e5ad8ac1eb.patch,,Patch,1,5,6
07_use_system_bulletml.patch,07_use_system_bulletml.patch,,Patch,1,5,6
08-gcc5-inline.patch,08-gcc5-inline.patch,,Patch,1,5,6
08_windowed_mode.patch,08_windowed_mode.patch,,Patch,1,5,6
09_CVE-2001-1593.diff,09_CVE-2001-1593.diff,,Diff,1,5,6
09_rootage_make_highres_default.patch,09_rootage_make_highres_default.patch,,Patch,1,5,6
0a3755c1799d3a4dc1875d4c59c7c568a64c8456.patch,0a3755c1799d3a4dc1875d4c59c7c568a64c8456.patch,,Patch,1,5,6
0aade9c0203f,0aade9c0203f,,None,1,5,6
0ad-0.0.23,0ad-0.0.23,,None,1,29,30
0ad-0.0.23-alpha-unix-build.tar.xz,0ad-0.0.23-alpha-unix-build.tar.xz,,Archive,1,4,5
0ad-0.0.23-alpha-unix-data.tar.xz,0ad-0.0.23-alpha-unix-data.tar.xz,,Archive,1,4,5
0ad-data-0.0.23,0ad-data-0.0.23,,None,1,3,4
0e03f8d4d6bc6949cf1c447e632ce0d1b98c4be1.patch,0e03f8d4d6bc6949cf1c447e632ce0d1b98c4be1.patch,,Patch,1,5,6
0e51a2d0944022af186d2dcd34c0ab3c47141ba5.patch,0e51a2d0944022af186d2dcd34c0ab3c47141ba5.patch,,Patch,2,5,7
0f28f99...f1edd12.patch,0f28f99...f1edd12.patch,,Patch,1,5,6
1.0.0.tar.gz,1.0.0.tar.gz,,Archive,12,4,16
1.0.1.tar.gz,1.0.1.tar.gz,,Archive,1,4,5
1.0.1.zip,1.0.1.zip,,Archive,6,4,10
1.0.2.tar.gz,1.0.2.tar.gz,,Archive,1,4,5
1.0.3.zip,1.0.3.zip,,Archive,2,4,6
1.0.4.zip,1.0.4.zip,,Archive,4,4,8
1.0.6.tar.gz,1.0.6.tar.gz,,Archive,1,4,5
1.0.7.zip,1.0.7.zip,,Archive,2,4,6
1.05.tar.gz,1.05.tar.gz,,Archive,1,4,5
1.1+8.tar.gz,1.1+8.tar.gz,,Archive,1,4,5
1.1.0.tar.gz,1.1.0.tar.gz,,Archive,3,4,7
1.1.1.zip,1.1.1.zip,,Archive,2,4,6
1.1.2.zip,1.1.2.zip,,Archive,2,4,6
1.105.tar.bz2,1.105.tar.bz2,,Archive,1,4,5
1.13.tar.gz,1.13.tar.gz,,Archive,2,4,6
1.19.tar.gz,1.19.tar.gz,,Archive,1,4,5
1.2.0-beta1+android9.tar.gz,1.2.0-beta1+android9.tar.gz,,Archive,1,4,5
1.2.0.tar.gz,1.2.0.tar.gz,,Archive,1,4,5
1.2.1.zip,1.2.1.zip,,Archive,2,4,6
1.2.12.tar.gz,1.2.12.tar.gz,,Archive,1,4,5
1.2.2.zip,1.2.2.zip,,Archive,1,4,5
1.2.4.tar.gz,1.2.4.tar.gz,,Archive,4,4,8
1.2.8.zip,1.2.8.zip,,Archive,2,4,6
1.27.0.tar.gz,1.27.0.tar.gz,,Archive,1,4,5
1.3.0.tar.gz,1.3.0.tar.gz,,Archive,1,4,5
1.3.1.tar.gz,1.3.1.tar.gz,,Archive,1,4,5
1.4.1.tar.gz,1.4.1.tar.gz,,Archive,2,4,6
